variant,month,target,dataset_id,retrain_id,train_start,train_end,n_train,n_test,target_prevalence,majority_accuracy,accuracy,accuracy_lift,auc,pr_auc,brier,log_loss,ece,baseline_log_loss,baseline_brier,margin_vs_baseline_ll,mean_predicted,mean_actual,model_age_months,gate_decision,interpretable
v9_path,2024-05,over25,224e1aa87cda,v9_path:2024-05,2019-02-22,2024-04-30,32108,1245,0.5663,0.5663,0.5863,2.008,0.6224,0.6888,0.23508,0.66216,0.04113,0.67901,0.24299,0.01686,0.5262,0.5663,0,PROMOTE,True
v9_path,2024-05,over35,224e1aa87cda,v9_path:2024-05,2019-02-22,2024-04-30,32108,1245,0.3357,0.6643,0.6811,1.687,0.6189,0.468,0.21351,0.61714,0.03634,0.63291,0.22082,0.01577,0.3004,0.3357,0,PROMOTE,True
v9_path,2024-06,btts,a7a906aaac66,v9_path:2024-06,2019-02-22,2024-05-31,33353,563,0.5613,0.5613,0.6039,4.263,0.6253,0.6976,0.22941,0.64874,0.02568,0.67975,0.24336,0.03101,0.5495,0.5613,0,PROMOTE,True
v9_path,2024-06,over15,a7a906aaac66,v9_path:2024-06,2019-02-22,2024-05-31,33353,563,0.7549,0.7549,0.7531,-0.178,0.5951,0.8188,0.18211,0.5478,0.01495,0.5507,0.18276,0.0029,0.7555,0.7549,0,PROMOTE,True
v9_path,2024-06,over25,a7a906aaac66,v9_path:2024-06,2019-02-22,2024-05-31,33353,563,0.5293,0.5293,0.5968,6.75,0.6408,0.6673,0.23233,0.656,0.05938,0.67281,0.23992,0.01681,0.5183,0.5293,0,PROMOTE,True
v9_path,2024-06,over35,a7a906aaac66,v9_path:2024-06,2019-02-22,2024-05-31,33353,563,0.2842,0.7158,0.7229,0.71,0.6542,0.4577,0.18931,0.56408,0.04521,0.57341,0.19451,0.00934,0.2942,0.2842,0,PROMOTE,True
v9_path,2024-07,btts,245763802b47,v9_path:2024-07,2019-02-22,2024-06-30,33916,674,0.5623,0.5623,0.5801,1.78,0.6241,0.7099,0.23058,0.65056,0.03579,0.67792,0.24244,0.02736,0.5544,0.5623,0,PROMOTE,True
v9_path,2024-07,over15,245763802b47,v9_path:2024-07,2019-02-22,2024-06-30,33916,674,0.7745,0.7745,0.776,0.148,0.6448,0.8529,0.16752,0.51326,0.03434,0.52965,0.17309,0.01639,0.7692,0.7745,0,PROMOTE,True
v9_path,2024-07,over25,245763802b47,v9_path:2024-07,2019-02-22,2024-06-30,33916,674,0.5282,0.5282,0.6009,7.27,0.6416,0.6567,0.23318,0.65806,0.01099,0.67708,0.24201,0.01902,0.531,0.5282,0,PROMOTE,True
v9_path,2024-07,over35,245763802b47,v9_path:2024-07,2019-02-22,2024-06-30,33916,674,0.2923,0.7077,0.7211,1.335,0.6599,0.4686,0.19168,0.56789,0.02412,0.5929,0.20254,0.02501,0.3093,0.2923,0,PROMOTE,True
v9_path,2024-08,btts,245763802b47,v9_path:2024-08,2019-02-22,2024-07-31,34590,1252,0.5048,0.5048,0.5567,5.192,0.6039,0.6172,0.2388,0.66862,0.03513,0.69676,0.25177,0.02814,0.5314,0.5048,1,REJECT,True
v9_path,2024-08,over15,245763802b47,v9_path:2024-08,2019-02-22,2024-07-31,34590,1252,0.7173,0.7173,0.7228,0.559,0.6055,0.7927,0.19826,0.58477,0.04719,0.59515,0.20221,0.01038,0.7588,0.7173,1,REJECT,True
v9_path,2024-08,over25,95081befdc06,v9_path:2024-08,2019-02-22,2024-07-31,34590,1252,0.4896,0.5104,0.5296,1.917,0.5779,0.5741,0.24538,0.68354,0.05351,0.69328,0.25004,0.00974,0.5176,0.4896,0,PROMOTE,True
v9_path,2024-08,over35,95081befdc06,v9_path:2024-08,2019-02-22,2024-07-31,34590,1252,0.2883,0.7117,0.7212,0.958,0.5802,0.3863,0.2005,0.5897,0.0264,0.59891,0.2046,0.00921,0.2893,0.2883,0,PROMOTE,True
