policy,target,month,adopted,val_champ,val_cand,next_month_live,next_month_challenger
always_promote,btts,2025-12,True,0.66169,0.66035,0.67823,0.67823
never_promote,btts,2025-12,False,0.69076,0.66035,0.69104,0.67823
v9_current_tol005,btts,2025-12,True,0.66169,0.66035,0.67823,0.67823
not_worse_tol000,btts,2025-12,True,0.66169,0.66035,0.67823,0.67823
must_improve_tol000,btts,2025-12,True,0.66169,0.66035,0.67823,0.67823
must_improve_tol002,btts,2025-12,False,0.66169,0.66035,0.6771,0.67823
v9_rule_6m_window,btts,2025-12,True,0.65938,0.66062,0.67823,0.67823
two_window_tol005,btts,2025-12,False,0.66169,0.66035,0.6771,0.67823
always_promote,btts,2026-01,True,0.66443,0.65857,0.67392,0.67392
never_promote,btts,2026-01,False,0.69169,0.65857,0.69609,0.67392
v9_current_tol005,btts,2026-01,True,0.66443,0.65857,0.67392,0.67392
not_worse_tol000,btts,2026-01,True,0.66443,0.65857,0.67392,0.67392
must_improve_tol000,btts,2026-01,True,0.66443,0.65857,0.67392,0.67392
must_improve_tol002,btts,2026-01,True,0.66666,0.65857,0.67392,0.67392
v9_rule_6m_window,btts,2026-01,True,0.66337,0.65938,0.67392,0.67392
two_window_tol005,btts,2026-01,True,0.66666,0.65857,0.67392,0.67392
always_promote,btts,2026-02,True,0.66696,0.64906,0.67147,0.67147
never_promote,btts,2026-02,False,0.69659,0.64906,0.68504,0.67147
v9_current_tol005,btts,2026-02,True,0.66696,0.64906,0.67147,0.67147
not_worse_tol000,btts,2026-02,True,0.66696,0.64906,0.67147,0.67147
must_improve_tol000,btts,2026-02,True,0.66696,0.64906,0.67147,0.67147
must_improve_tol002,btts,2026-02,True,0.66696,0.64906,0.67147,0.67147
v9_rule_6m_window,btts,2026-02,True,0.66176,0.64917,0.67147,0.67147
two_window_tol005,btts,2026-02,True,0.66696,0.64906,0.67147,0.67147
always_promote,btts,2026-03,True,0.65546,0.64254,0.67395,0.67395
never_promote,btts,2026-03,False,0.69013,0.64254,0.69685,0.67395
v9_current_tol005,btts,2026-03,True,0.65546,0.64254,0.67395,0.67395
not_worse_tol000,btts,2026-03,True,0.65546,0.64254,0.67395,0.67395
must_improve_tol000,btts,2026-03,True,0.65546,0.64254,0.67395,0.67395
must_improve_tol002,btts,2026-03,True,0.65546,0.64254,0.67395,0.67395
v9_rule_6m_window,btts,2026-03,True,0.65227,0.64634,0.67395,0.67395
two_window_tol005,btts,2026-03,True,0.65546,0.64254,0.67395,0.67395
always_promote,btts,2026-04,True,0.65284,0.65286,0.67416,0.67416
never_promote,btts,2026-04,False,0.69245,0.65286,0.68969,0.67416
v9_current_tol005,btts,2026-04,True,0.65284,0.65286,0.67416,0.67416
not_worse_tol000,btts,2026-04,False,0.65284,0.65286,0.67392,0.67416
must_improve_tol000,btts,2026-04,False,0.65284,0.65286,0.67392,0.67416
must_improve_tol002,btts,2026-04,False,0.65284,0.65286,0.67392,0.67416
v9_rule_6m_window,btts,2026-04,True,0.65019,0.65442,0.67416,0.67416
two_window_tol005,btts,2026-04,False,0.65284,0.65286,0.67392,0.67416
always_promote,btts,2026-05,True,0.66173,0.65001,0.65545,0.65545
never_promote,btts,2026-05,False,0.69056,0.65001,0.67471,0.65545
v9_current_tol005,btts,2026-05,True,0.66173,0.65001,0.65545,0.65545
